Type,ConID,AssetType,SecurityID,CUSIP,Symbol,BBTicker,BBTickerAndExchangeCode,BBGlobalID,Description,UnderlyingSymbol,UnderlyingCategory,UnderlyingSecurityId,UnderlyingPrimaryExchange,UnderlyingConID,Multiplier,ExpirationDate,OptionType,OptionStrike,MaturityDate,IssueDate,PrimaryExchange,Currency,SubCategory,Issuer,DeliveryMonth,
D,110619459,STK,US6974351057,697435105,PANW,PANW,PANW US,BBG0014GJCT9,PALO ALTO NETWORKS INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,13497,STK,US91913Y1001,91913Y100,VLO,VLO,VLO US,BBG000BBGGQ1,VALERO ENERGY CORP,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,141432825,FUND,US3159117502,315911750,FXAIX,,,,Fidelity FIDELITY 500 INDEX,,,,,,1,,,,,,,USD,,,,
D,1520593,STK,US46625H1005,46625H100,JPM,JPM,JPM US,BBG000DMBXR2,JPMORGAN CHASE & CO,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,199169591,STK,US70450Y1038,70450Y103,PYPL,PYPL,PYPL US,BBG0077VNXV6,PAYPAL HOLDINGS INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,208813720,STK,US02079K1079,02079K107,GOOG,GOOG,GOOG US,BBG009S3NB30,ALPHABET INC-CL C,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,265768,STK,US00724F1012,00724F101,ADBE,ADBE,ADBE US,BBG000BB5006,ADOBE INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,272093,STK,US5949181045,594918104,MSFT,MSFT,MSFT US,BBG000BPH459,MICROSOFT CORP,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,320227571,STK,US46090E1038,46090E103,QQQ,QQQ,QQQ US,BBG000BSWKH7,INVESCO QQQ TRUST SERIES 1,,,,,,1,,,,,,NASDAQ,USD,ETF,,,
D,3629755,STK,US9113631090,911363109,URI,URI,URI US,BBG000BXMFC3,UNITED RENTALS INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,3691937,STK,US0231351067,023135106,AMZN,AMZN,AMZN US,BBG000BVPV84,AMAZON.COM INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,370757467,STK,US22788C1053,22788C105,CRWD,CRWD,CRWD US,BBG00BLYKS03,CROWDSTRIKE HOLDINGS INC - A,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,37655664,STK,US1696561059,169656105,CMG,CMG,CMG US,BBG000QX74T1,CHIPOTLE MEXICAN GRILL INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,444857009,STK,US69608A1088,69608A108,PLTR,PLTR,PLTR US,BBG000N7QR55,PALANTIR TECHNOLOGIES INC-A,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,460492620,STK,US91680M1071,91680M107,UPST,UPST,UPST US,BBG00PKCBY53,UPSTART HOLDINGS INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,4627828,STK,US38141G1040,38141G104,GS,GS,GS US,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,4815747,STK,US67066G1040,67066G104,NVDA,NVDA,NVDA US,BBG000BBJQV0,NVIDIA CORP,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,496084169,STK,US25401T1088,25401T108,DBRG,,,,DIGITALBRIDGE GROUP INC,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,555402081,OPT,,,QQQ   220819P00270000,,,,QQQ 19AUG22 270 P,QQQ,STK,US46090E1038,NASDAQ,320227571,100,20220819,P,270,,,CBOE,USD,,,2022-08,
D,565709729,OPT,,,QQQ   221021P00290000,QQQ 10 P290,,BBG017YNM9T0,QQQ 21OCT22 290 P,QQQ,STK,US46090E1038,NASDAQ,320227571,100,20221021,P,290,,,CBOE,USD,,,2022-10,
D,569892095,OPT,,,SBUX  220805P00084000,,,,SBUX 05AUG22 84 P,SBUX,STK,US8552441094,NASDAQ,274105,100,20220805,P,84,,,CBOE,USD,,,2022-08,
D,575192204,OPT,,,SHOP  220812C00048000,,,,SHOP 12AUG22 48 C,SHOP,STK,CA82509L1076,NYSE,195014116,100,20220812,C,48,,,CBOE,USD,,,2022-08,
D,6459,STK,US2546871060,254687106,DIS,DIS,DIS US,BBG000BH4R78,WALT DISNEY CO/THE,,,,,,1,,,,,,NYSE,USD,COMMON,,,
D,6917,STK,US29476L1070,29476L107,EQR,EQR,EQR US,BBG000BG8M31,EQUITY RESIDENTIAL,,,,,,1,,,,,,NYSE,USD,REIT,,,
D,756733,STK,US78462F1030,78462F103,SPY,SPY,SPY US,BBG000BDTBL9,SPDR S&P 500 ETF TRUST,,,,,,1,,,,,,ARCA,USD,ETF,,,
D,9063285,STK,US46120E6023,46120E602,ISRG,ISRG,ISRG US,BBG000BJPDZ1,INTUITIVE SURGICAL INC,,,,,,1,,,,,,NASDAQ,USD,COMMON,,,
D,9579970,STK,US4642876555,464287655,IWM,IWM,IWM US,BBG000CGC9C4,ISHARES RUSSELL 2000 ETF,,,,,,1,,,,,,ARCA,USD,ETF,,,
D,9579976,STK,US4642878049,464287804,IJR,IJR,IJR US,BBG000BWCNN7,ISHARES CORE S&P SMALL-CAP E,,,,,,1,,,,,,ARCA,USD,ETF,,,
