Type,AccountID,ConID,SecurityID,Symbol,BBTicker,BBGlobalID,SecurityDescription,AssetType,Currency,BaseCurrency,Quantity,QuantityInBase,CostPrice,CostBasis,CostBasisInBase,MarketPrice,MarketValue,MarketValueInBase,OpenDateTime,FxRateToBase,ReportDate,SettledQuantity,SettledQuantityInBase,MasterAccountID,Van,AccruedInt,OriginatingOrderID,Multiplier,
D,F6017651,,,,,,,CASH,USD,USD,241.045,241.045,0,0,0,0,0,0,,1,20221208,241.045,241.045,,,0,,1,
D,U4445393,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,80,0,24.942465,1995.3972,1995.3972,25.59,2047.2,2047.2,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,231,0,145.42147403,33592.3605,33592.3605,90.35,20870.85,20870.85,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,80,0,61.1625,4893,4893,60.26,4820.8,4820.8,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,272997,US22160K1051,COST,COST,BBG000F6H8W8,COSTCO WHOLESALE CORP,STK,USD,USD,-40,0,497.15098267,-19886.039307,-19886.039307,481.42,-19256.8,-19256.8,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,908,0,21.10948238,19167.41,19167.41,12.63,11468.04,11468.04,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,169,0,139.92305905,23646.99698,23646.99698,92.55,15640.95,15640.95,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,248682005,US26856L1035,ELF,ELF,BBG00DQ6VYP3,ELF BEAUTY INC,STK,USD,USD,-100,0,54.33862539,-5433.862539,-5433.862539,55.07,-5507,-5507,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,198,0,83.15212644,16464.121035,16464.121035,62.71,12416.58,12416.58,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,141432825,US3159117502,FXAIX,,,Fidelity FIDELITY 500 INDEX,FUND,USD,USD,62.396,0,87.03458555,5430.61,5430.61,137.94,8606.9,8606.9,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,241,0,11.81627942,2847.72334,2847.72334,11.54,2781.14,2781.14,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,363,0,104.41858253,37903.94546,37903.94546,93.95,34103.85,34103.85,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,4627828,US38141G1040,GS,GS,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,STK,USD,USD,3,0,294.42666667,883.28,883.28,358.08,1074.24,1074.24,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,8153,US4404521001,HRL,HRL,BBG000BLF8D2,HORMEL FOODS CORP,STK,USD,USD,-100,0,46.83879713,-4683.879713,-4683.879713,47.65,-4765,-4765,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,9579976,US4642878049,IJR,IJR,BBG000BWCNN7,ISHARES CORE S&P SMALL-CAP E,STK,USD,USD,190,0,107.89,20499.1,20499.1,98.38,18692.2,18692.2,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,1520593,US46625H1005,JPM,JPM,BBG000DMBXR2,JPMORGAN CHASE & CO,STK,USD,USD,75,0,145.19323333,10889.4925,10889.4925,132.88,9966,9966,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,9388,US55262C1009,MBI,MBI,BBG000BNQN34,MBIA INC,STK,USD,USD,403,0,13.055,5261.165,5261.165,12.6,5077.8,5077.8,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,272093,US5949181045,MSFT,MSFT,BBG000BPH459,MICROSOFT CORP,STK,USD,USD,75,0,282.05743227,21154.30742,21154.30742,247.4,18555,18555,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,10880,US6745991058,OXY,OXY,BBG000BQQ2S6,OCCIDENTAL PETROLEUM CORP,STK,USD,USD,45,0,66.70176471,3001.579412,3001.579412,63.71,2866.95,2866.95,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,199169591,US70450Y1038,PYPL,PYPL,BBG0077VNXV6,PAYPAL HOLDINGS INC,STK,USD,USD,182,0,117.41452489,21369.44353,21369.44353,74.22,13508.04,13508.04,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,320227571,US46090E1038,QQQ,QQQ,BBG000BSWKH7,INVESCO QQQ TRUST SERIES 1,STK,USD,USD,56,0,297.26,16646.56,16646.56,283.85,15895.6,15895.6,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,592779810,,SI    221216C00065000,SI 12 C65,BBG01B4JM0M9,SI 16DEC22 65 C,OPT,USD,USD,50,0,0.7493815,3746.9075,3746.9075,0.0003,1.5,1.5,,1,20221208,0,0,F6017651,U4445393,0,,100,
D,U4445393,756733,US78462F1030,SPY,SPY,BBG000BDTBL9,SPDR S&P 500 ETF TRUST,STK,USD,USD,72,0,350.11607739,25208.357572,25208.357572,396.24,28529.28,28529.28,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,15547841,US4642874329,TLT,TLT,BBG000BJKYW3,ISHARES 20+ YEAR TREASURY BO,STK,USD,USD,344,0,104.70566294,36018.74805,36018.74805,109.17,37554.48,37554.48,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,76792991,US88160R1014,TSLA,TSLA,BBG000N9MNX3,TESLA INC,STK,USD,USD,-10,0,194.5654121,-1945.654121,-1945.654121,173.44,-1734.4,-1734.4,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,13116,US9022521051,TYL,TYL,BBG000BVWZF9,TYLER TECHNOLOGIES INC,STK,USD,USD,10,0,342.344,3423.44,3423.44,318.44,3184.4,3184.4,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,13497,US91913Y1001,VLO,VLO,BBG000BBGGQ1,VALERO ENERGY CORP,STK,USD,USD,98,0,109.0762148,10689.46905,10689.46905,116.9,11456.2,11456.2,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,337722877,US92511U1025,VRRM,VRRM,BBG00G4XQ9Z1,VERRA MOBILITY CORP,STK,USD,USD,343,0,14.85008746,5093.58,5093.58,14.52,4980.36,4980.36,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,CASH,USD,USD,83387.78517808,83387.78517808,0,0,0,0,0,0,,1,20221208,89526.20517808,89526.20517808,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,INTACC,USD,USD,26.6,26.6,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U4445393,,,,,,,DIVACC,USD,USD,7.5,7.5,0,0,0,0,0,0,,1,20221208,0,0,F6017651,U4445393,0,,1,
D,U5422138,4725941,US00760J1088,AEHR,AEHR,BBG000BWM083,AEHR TEST SYSTEMS,STK,USD,USD,2,0,24.942465,49.88493,49.88493,25.59,51.18,51.18,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,3691937,US0231351067,AMZN,AMZN,BBG000BVPV84,AMAZON.COM INC,STK,USD,USD,4,0,90.54525,362.181,362.181,90.35,361.4,361.4,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,288771051,US09215C1053,BKI,BKI,BBG00GX77LW3,BLACK KNIGHT INC,STK,USD,USD,2,0,61.180575,122.36115,122.36115,60.26,120.52,120.52,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,578327143,US25401T6038,DBRG,DBRG,BBG00D30HGP6,DIGITALBRIDGE GROUP INC,STK,USD,USD,20,0,16.772,335.44,335.44,12.63,252.6,252.6,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,6459,US2546871060,DIS,DIS,BBG000BH4R78,WALT DISNEY CO/THE,STK,USD,USD,10,0,106.17306,1061.7306,1061.7306,92.55,925.5,925.5,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,6917,US29476L1070,EQR,EQR,BBG000BG8M31,EQUITY RESIDENTIAL,STK,USD,USD,13,0,74.55,969.15,969.15,62.71,815.23,815.23,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,158655765,US36162J1060,GEO,GEO,BBG000GC0TZ3,GEO GROUP INC/THE,STK,USD,USD,6,0,11.81071333,70.86428,70.86428,11.54,69.24,69.24,,1,20221208,0,0,F6017651,U5422138,0,,1,
D,U5422138,208813720,US02079K1079,GOOG,GOOG,BBG009S3NB30,ALPHABET INC-CL C,STK,USD,USD,26,0,97.66111385,2539.18896,2539.18896,93.95,2442.7,2442.7,,1,20221208,0,0,F6017651,U5422138,0,,1,
